ID;CODE;LINE_NB
O-1;UL;1
O-1;ULV;2
R-2;PX9;1
R-2;L5TG;2
R-2;L5TG;3
G-3;TP;1
G-3;TP;2
G-3;TP;3
G-3;TP;4
G-3;TP;5
G-3;TP;6
G-3;TP;7
G-3;TP;8
G-3;TP;9
E-4;U4;1
E-4;6ML;2
K-5;PX9;1
K-5;RVX9L;2
K-5;L5TG;3
K-5;L5TG;4
Z-6;LYJ;1
Z-6;LYJ;2
Z-6;LYJ;3
Z-6;PX9;4
Z-6;LYJ;5
Z-6;GL9L;6
Z-6;L5TG;7
Z-6;L5TG;8
A-7;3PX;1
A-7;V5TG;2
A-8;VPX;1
A-8;VPX;2
R-9;PX9;1
R-9;RVX9L;2
R-9;L5TG;3
R-9;L5TG;4
Y-10;ZZ4;1
Y-10;4LV;2
O-11;L;1
O-11;JUV;2
G-12;VPX;1
G-12;VPX;2
C-13;VPX;1
C-13;VPX;2
G-14;Y5ES;1
G-14;Y5ES;2
Y-15;VPX;1
Y-15;VPX;2
Y-16;X686X;1
Y-16;E6U;2
Y-16;E6U;3
K-17;UL;1
K-17;L9V;2
K-17;ULV;3
U-18;ZZ4;1
U-18;4EV;2
Z-19;UL;1
Z-19;ULV;2
Z-19;L9V;3
Q-20;U4;1
Q-20;4EV;2
R-21;U4;1
R-21;4EV;2
O-22;Y5ES;1
O-22;Y5ES;2
K-23;ZZ4;1
K-23;4EV;2
B-24;ZZ4;1
B-24;4EV;2
B-24;5ML;3
J-25;VYJ;1
J-25;PX9;2
J-25;VYJ;3
Y-26;86MEK;1
Y-26;86MEK;2
Y-26;M5ES;3
G-27;ZZ4;1
G-27;5ML;2
X-28;UL;1
X-28;ULV;2
X-28;L9V;3
G-29;UL;1
G-29;L9V;2
G-29;ULV;3
J-30;UL;1
J-30;9EV;2
J-30;EJ5;3
J-31;UL;1
J-31;L9V;2
J-31;ULV;3
P-32;L5TG;1
P-32;L5TG;2
F-33;ZZ4;1
F-33;4EV;2
D-34;UL;1
D-34;L9V;2
D-34;ULV;3
D-35;VPX;1
D-35;86X;2
M-36;UL;1
M-36;ULV;2
M-36;L9V;3
V-37;L;1
V-37;4EV;2
J-38;UL;1
J-38;ULV;2
E-39;86X;1
E-39;86X;2
V-40;UL;1
V-40;ULV;2
V-40;L9V;3
R-41;ZZ4;1
R-41;5ML;2
R-41;4EV;3
P-42;ZZ4;1
P-42;4EV;2
T-43;UL;1
T-43;ULV;2
T-43;L9V;3
J-44;86MEK;1
J-44;86MEK;2
J-44;M5ES;3
A-45;ZZ4;1
A-45;4EV;2
V-46;ZZ4;1
V-46;4EV;2
V-47;V5TG;1
V-47;V5TG;2
A-48;VPX;1
A-48;VPX;2
F-49;ZZ4;1
F-49;4EV;2
D-50;£VX;1
D-50;VPX;2
E-51;UL;1
E-51;ULV;2
B-52;5ML;1
B-52;4EV;2
B-52;ZZ4;3
S-53;ZZ4;1
S-53;4EV;2
R-54;ZZ4;1
R-54;4EV;2
